πατρίδα,[ςγρίδα,πσρείδα,παγτκδα,πατφθψα
πατρικά,΄;5ρικά,πζγ4ικά,παγφ8κά,πατ4ξλά
πατρινά,οζ6ρινά,π;υτινά,παγφ9νά,παττοβά
πατητά,-ςρητά,π;φυτά,παφυρά,πατθγς
άρτυμα,;δ5υμα,ά55γμα,άρυηκα,άρτ7κ;
ακτίδα,ςοφίδα,αλ6οδα,ακ5ξεα,ακτθφζ
απαρτία,σλζρτία,α0ς4τία,απζτ6ία,απαδ6οα
γαρίδα,βς4ίδα,γ;φκδα,γαδξεα,γαρ8ρς
καρωτίδα,ξς4ωτίδα,κζφψτίδα,κα4φγίδα,καρφ6θδα
καρύδα,οςφύδα,κζτ7δα,καφτσα,καργφσ
μαρίδα,νς5ίδα,μ;τξδα,μαφοεα,μαρξψς
μαρτύρα,κς4τύρα,μ;τρύρα,ματυηρα,μαρυττα
πάρτι,οσττι,πσε5ι,πά46ο,πάρυθ
πάτημα,0σρημα,πςργμα,πάρξξα,πάτθνς
παγίδα,[ςωίδα,πσυοδα,παη8ρα,παγορ;
πανίδα,λςμίδα,πςηθδα,παβ8χα,παν8ρς
γίδα,υοσα,γ9εσ,γίρα,γίδσ
μάγισσα,ν;ηισσα,μσβ8σσα,μάτοζσα,μάγθζχα
πάγωμα,0;ηωμα,πσωψμα,πάτγξα,πάγψκ;
πυξίδα,[τνίδα,π7ικδα,πυιοεα,πυξ9εζ
χάνδρα,δζξδρα,χσμερα,χάμρδα,χάνσ5σ
άντρας,ςμ6ρας,άξυτας,άνυ4ζς,άντδς2
άνετος,ςμστος,άξσ6ος,άνρ6λς,άνε5π;
άγγελος,;τυελος,άωω3λος,άγφσκος,άγγ3΄πς
άνισος,ζβκσος,άη8χος,άνθζ9ς,άνιει;
άνοδος,;ηκδος,άηπσος,άνπρ0ς,άνοφλ;
ήρεμος,β43μος,ήεδνος,ήρςξκς,ήρεκι3
αγενώς,ςφ3νώς,αφρβώς,αγδβγς,αγεξφσ
αδένος,ζφδνος,αφ4μος,αδ3ηπς,αδέηκε
αετός,;δ5ός,ασρκς,αε5λα,αετ9ς
ατμός,;γξός,αφξ9ς,ατξλσ,ατμ0ς
αφελώς,ζγρλώς,αγδκώς,αφ3οφς,αφεκφ3
αφενός,;ψ4νός,ατ3ηός,αφ4ξπς,αφεμκ;
γκρεμός,υιεεμός,γξ5ςμός,γκφρνός,γκρδξ0ς
κανενός,ξζβενός,κςξρνός,καβσμός,κανςηλς
λαιμός,΄σ8μός,λ;κνός,λαοξ9ς,λαιν9;
φανερός,δσξερός,φςξρρός,φαμσεός,φανρφις
απλός,;[΄ός,α[κις,αποπ3,απλ94
βάλτος,ωςοτος,βσ.γος,βάοφις,βάλ6πα
βάτος,νζγος,β;υ0ς,βάρ03,βάτ9ρ
βέλος,ωσοος,βς΄κς,βέκλ3,βέλλε
βέτο,ωσρο,β36λ,βέ5ο,βέτθ
δέος,ρςκς,δ49α,δέκς,δέος
ιστός,θςυός,ιερις,ισρκα,ιστι3
κάθετος,ξςηετος,κσξ3τος,κά74φος,κάθδυ0ς
κάκτος,μζοτος,κ;μ5ος,κάοφ9ς,κάκ5πα
κήτος,μν5ος,κξφις,κήγ0α,κήτλ1
καινός,ι;ονός,κσκμός,κα9ξ9ς,καιξ9α
καιρός,ιζξρός,κςξφός,καθτ0ς,και5ισ
καυτός,ξ;ττός,κσ7φός,καηγις,καυ5ι2
κενός,ξςβός,κ4βκς,κεηπ3,κενλ2
λιτός,.85ός,λουις,λιυι3,λιτκα
λωτός,.ψφός,λγρ0ς,λωυλσ,λωτ04
ρητώς,φξ5ώς,ρθ6ψς,ρηρψσ,ρητψ;
φαεινός,γ;3ινός,φςρκνός,φα3οβός,φαε9ηκς
φελλός,δσ΄λός,φςοοός,φεοπλς,φελ΄πε
ψητός,δξφός,ψυυ0ς,ψη5πσ,ψητπ3
βλήμα,ηκγμα,βπνξα,βλθξς,βλήξ2
άθλημα,;8οημα,ά7.ξμα,άθκθκα,άθλυξζ
έγκλημα,δυολημα,έφξ΄ημα,έγξκνμα,έγκκνκα
έλλειμμα,4π΄ειμμα,έκ΄4ιμμα,έλ΄σξμμα,έλλσκξμα
ασχήμια,ςςζήμια,αςσνμια,ασζυξια,ασχβξθα
βλέμμα,ωκρμμα,βο4νμα,βλ4κνα,βλένξ;
δουλειά,φιγλειά,δπηοειά,δοη.ςιά,δουπροά
ζημιά,συξιά,ζγξ8ά,ζηξ8;,ζημξχ
ηλίθια,υ.8θια,η΄8ιια,ηλξ7κα,ηλίυξ;
ηλικία,β΄θκία,ηπθμία,ηλ9ι9α,ηλιο9ς
θέλημα,η3κημα,θδοβμα,θέ.γνα,θέλθξ;
κάλυμμα,ξσουμμα,κσ΄τμμα,κάκ7νμα,κάλ6ξνα
καλάμια,ξζοάμια,κσ΄;μια,καπςξια,καλζκ8α
κόλλημα,ξ0ολημα,κ9ο΄ημα,κό΄πβμα,κόλ΄βκα
μούμια,κ96μια,μπηξια,μοτξκα,μούκξσ
ντουλάπα,βφλυλάπα,νφκηλάπα,ντιτκάπα,ντοθπ;πα
πλημμύρα,0΄υμμύρα,πογξμύρα,πλξξνύρα,πληξξ6ρα
φίλημα,δκπημα,φ9.υμα,φί΄νκα,φίλξκσ
φουλάρια,τπηλάρια,φκ6κάρια,φο6πζρια,φου.σ5ια
θάνατος,ησξατος,θσξστος,θάμ;5ος,θάν;γκς
κανίβαλος,ιςηίβαλος,κ;ξ8βαλος,καηθηαλος,καν8γ;λος
σανδάλι,ςζμδάλι,σζξράλι,σαμεζλι,σανψσοι
σανδάλια,ζζξδάλια,σσβράλια,σαβχςλια,σανψσπια
σκάνδαλο,ςξ;νδαλο,σοςξδαλο,σκσμεαλο,σκάβχ;λο
άρδην,;φρην,άδρυν,άρχνμ,άρδβν
βάφουν,νσψουν,β;τ0υν,βάρπ7ν,βάφλθβ
βαδίζω,νζσίζω,βζρκζω,βαψθχω,βαδξσγ
βαρούν,γστούν,β;φ9ύν,βαεπθν,βαριθη
βαρύνει,νσ4ύνει,βσ4γνει,βα47ξει,βαργβσι
βοδινό,ω9φινό,βκρ8νό,βοεοηό,βοδ9η9
γάλα,ης΄α,γς΄ς,γάκα,γάλε
θέτω,υρυω,θς6γ,θέφγ,θέτ6
ντουέτο,βυ0υέτο,νφκγέτο,ντλγ4το,ντο636ο
γαβγίσματα,υζνγίσματα,γσγτίσματα,γανυ9σματα,γαβτ8εματα
ράβδισμα,φςγδισμα,ρ;γεισμα,ράωε9σμα,ράβρξςμα
άθροισμα,ζυ5οισμα,άηδπισμα,άθφκθσμα,άθρ98ζμα
τραύλισμα,γφσύλισμα,τ5ςηλισμα,τρςη.ισμα,τρα7κθσμα
χάρισμα,ζσεισμα,χζ4κσμα,χάεθςμα,χάρξεκα
αδιαφανής,;ψ9αφανής,αψ9σφανής,αδξζγανής,αδιςγςνής
διαφάνεια,ρ8ζφάνεια,δθζωάνεια,διζγζνεια,διαψζξεια
δίγραμμος,χθτραμμος,δθυ4αμμος,δίφ4σμμος,δίγτζνμος
δίκαννο,ε9μαννο,δκλ;ννο,δίμςξνο,δίκςξηο
δίχρονος,σ9ψρονος,δ8στονος,δίσδλνος,δίχτπβος
διάλογος,ψξ;λογος,δ8σπογος,δισπιγος,διάκιφος
