πατρίδα,-ατρίδα,πζτρίδα,παγρίδα,πατ5ίδα,πατρθδα,πατρίδ;
πατρικά,οατρικά,πστρικά,παφρικά,παττικά,πατροκά,πατρικς
πατρινά,οατρινά,πστρινά,πα5ρινά,πατ4ινά,πατρξνά,πατρινς
πατητά,[ατητά,πζτητά,παρητά,πατντά,πατηγά,πατητσ
άρτυμα,σρτυμα,άδτυμα,άρρυμα,άρτ6μα,άρτυκα,άρτυμζ
ακτίδα,ζκτίδα,αιτίδα,ακ5ίδα,ακτοδα,ακτίψα,ακτίδς
απαρτία,σπαρτία,α΄αρτία,απσρτία,απαφτία,απαργία,απαρτίς
γαρίδα,φαρίδα,γςρίδα,γατίδα,γαρκδα,γαρίψα,γαρίδζ
καρωτίδα,οαρωτίδα,κςρωτίδα,καεωτίδα,καργτίδα,καρωφίδα,καρωτίφα
καρύδα,ιαρύδα,κσρύδα,κατύδα,καργδα,καρύσα,καρύδ;
μαρίδα,καρίδα,μζρίδα,μα5ίδα,μαρ9δα,μαρίψα,μαρίδσ
μαρτύρα,καρτύρα,μζρτύρα,μα5τύρα,μαρ5ύρα,μαρτηρα,μαρτύρζ
πάρτι,-άρτι,πςρτι,πά4τι,πάρ6ι,πάρτο,πάρτο
πάτημα,[άτημα,πστημα,πάρημα,πάτξμα,πάτηκα,πάτημς
παγίδα,0αγίδα,πζγίδα,παβίδα,παγοδα,παγίχα,παγίδς
πανίδα,0ανίδα,π;νίδα,παβίδα,πανξδα,πανίεα,πανίδ;
γίδα,ηίδα,γοδα,γίψα,γίδζ,γίδς,γίδζ
μάγισσα,κάγισσα,μςγισσα,μάτισσα,μάγξσσα,μάγιζσα,μάγισσσ
πάγωμα,[άγωμα,πςγωμα,πάβωμα,πάγβμα,πάγωνα,πάγωμ;
πυξίδα,-υξίδα,πτξίδα,πυμίδα,πυξ8δα,πυξίχα,πυξίδσ
χάνδρα,ψάνδρα,χζνδρα,χάηδρα,χάνρρα,χάνδεα,χάνδρς
άντρας,σντρας,άμτρας,άν5ρας,άντφας,άντρζς,άντρασ
άνετος,;νετος,άμετος,άνςτος,άνερος,άνετκς,άνετο3
άγγελος,;γγελος,άφγελος,άγβελος,άγγ4λος,άγγεκος,άγγελοα
άνισος,ςνισος,άβισος,άνθσος,άνιζος,άνισπς,άνισο;
άνοδος,ζνοδος,άμοδος,άνπδος,άνορος,άνοδ0ς,άνοδοε
ήρεμος,θρεμος,ήτεμος,ήρ4μος,ήρεξος,ήρεμπς,ήρεμο;
αγενώς,ςγενώς,ατενώς,αγ3νώς,αγεξώς,αγενφς,αγενώε
αδένος,ςδένος,αρένος,αδρνος,αδέβος,αδένκς,αδένοα
αετός,;ετός,α3τός,αε5ός,αετ0ς,αετόα,αετόα
ατμός,;τμός,αφμός,ατξός,ατμ9ς,ατμό;,ατμό;
αφελώς,ςφελώς,αρελώς,αφδλώς,αφε.ώς,αφελβς,αφελώα
αφενός,ζφενός,αγενός,αφρνός,αφεξός,αφενις,αφενόσ
γκρεμός,φκρεμός,γορεμός,γκ4εμός,γκρςμός,γκρεξός,γκρεμό2
κανενός,ιανενός,κσνενός,καξενός,καν4νός,κανεβός,κανενό2
