πατρίδα,-ατρίδφα,πζτρίδυα,πεαγρίδα,πθατ5ίδα,πατρθτδα,πατρρίδ;
πατρικά,οατρωικά,πσστρικά,πλαφρικά,πατοτικά,πατροκαά,λπατρικς
πατρινά,οατριχνά,ηπστρινά,πα5φρινά,πατ4ιυνά,παττρξνά,πατρινες
πατητά,[αατητά,πζητητά,παρητδά,ποατντά,τπατηγά,πατθητσ
άρτυμα,σρλτυμα,άβδτυμα,άρρυωμα,άρτ6λμα,άρτευκα,άλρτυμζ
ακτίδα,ζκτίδαα,αιτχίδα,ακ5ίαδα,ξακτοδα,σακτίψα,ακτίδνς
απαρτία,σππαρτία,α΄αρτφία,απσρτθία,απψαφτία,ιαπαργία,απαρξτίς
γαρίδα,ιφαρίδα,γςρυίδα,γαθτίδα,γαρκγδα,γυαρίψα,ζγαρίδζ
καρωτίδα,οαρωζτίδα,κζςρωτίδα,καεωτίδφα,καργγτίδα,καρωφίδγα,καρωτθίφα
καρύδα,ηιαρύδα,κστρύδα,κτατύδα,καργδωα,καρξύσα,καραύδ;
μαρίδα,καρίξδα,μλζρίδα,μα5οίδα,μαρξ9δα,μαρίξψα,μθαρίδσ
μαρτύρα,κανρτύρα,μζρτύρρα,μα5υτύρα,μαγρ5ύρα,ρμαρτηρα,μαζρτύρζ
πάρτι,-άωρτι,ψπςρτι,νπά4τι,ιπάρ6ι,πάρτζο,πάρτνο
πάτημα,γ[άτημα,πστηιμα,πάρημλα,πάχτξμα,πάοτηκα,απάτημς
παγίδα,0αγαίδα,πζγίξδα,παβίοδα,παπγοδα,ψπαγίχα,παγπίδς
πανίδα,0ανμίδα,π;νίδωα,παβίδωα,πηανξδα,επανίεα,παονίδ;
γίδα,ηψίδα,γοδδα,γψίψα,γίυδζ,γίδβς,γφίδζ
μάγισσα,κάγισσοα,μςγιξσσα,μδάτισσα,μάγδξσσα,μάγιθζσα,μάγνισσσ
πάγωμα,[άγτωμα,πφςγωμα,πάβωμζα,πάγββμα,πάδγωνα,πάγωζμ;
πυξίδα,-υξίρδα,πτξίκδα,πυπμίδα,πυοξ8δα,πυυξίχα,πυξλίδσ
χάνδρα,ψάναδρα,χθζνδρα,ιχάηδρα,χάνρρλα,χάνδσεα,εχάνδρς
άντρας,σντρπας,άνμτρας,άν5ζρας,άντφαως,άντυρζς,άντκρασ
άνετος,;νφετος,άμετιος,άνςτξος,άνερολς,νάνετκς,βάνετο3
άγγελος,;χγγελος,άφγελαος,άγβιελος,άγζγ4λος,άεγγεκος,άηγγελοα
άνισος,φςνισος,άνβισος,άνθσιος,άνιζοπς,άνισζπς,γάνισο;
άνοδος,ζνοδνος,άμοδοξς,άψνπδος,φάνορος,άλνοδ0ς,άηνοδοε
ήρεμος,θρεμομς,ήτεμοδς,ήρ4μοπς,ήρδεξος,ήρεμχπς,ήαρεμο;
αγενώς,ςγδενώς,ατετνώς,αγ3νώας,καγεξώς,εαγενφς,αφγενώε
αδένος,ςωδένος,ατρένος,αδνρνος,αδέβρος,αδέυνκς,αψδένοα
αετός,μ;ετός,ρα3τός,ψαε5ός,αετδ0ς,λαετόα,αεατόα
ατμός,;πτμός,αοφμός,ατξόυς,ζατμ9ς,ατμόι;,αζτμό;
αφελώς,ςφδελώς,ααρελώς,αφδλώως,αφμε.ώς,αφελγβς,αφμελώα
