πατρίδα,λατρίδ,πστρίδ,παφρίδ,πατφίδ,πατροδ,πατρίψ
πατρικά,οατριά,πζτριά,παγριά,παττιά,πατρ8ά,πατρι;
πατρινά,0ατριν,πςτριν,πα5ριν,πατφιν,πατρον,πατριβ
πατητά,ζτητά,αφητά,ατβτά,ατη6ά,ατητ;,ατητς
άρτυμα,;τυμα,ά6υμα,άτ7μα,άτυξα,άτυμ;,άτυμ;
ακτίδα,ζκίδα,αοίδα,ακοδα,ακίεα,ακίδ;,ακίδζ
απαρτία,ζαρτία,αςρτία,αα4τία,ααρ6ία,ααρτοα,ααρτίς
γαρίδα,ηαρίδ,γςρίδ,γα4ίδ,γαρξδ,γαρίε,γαρίσ
καρωτίδα,μαρωτίδ,κσρωτίδ,καφωτίδ,καρβτίδ,καρωρίδ,καρωτίσ
καρύδα,μαρύδ,κςρύδ,κα5ύδ,καρθδ,καρύχ,καρύσ
μαρίδα,ναίδα,μσίδα,μακδα,μαίχα,μαίδς,μαίδσ
μαρτύρα,καρτύα,μσρτύα,μαετύα,μαρ5ύα,μαρττα,μαρτύσ
πάρτι,΄ρτι,πφτι,πρυι,πρτ9,πρτθ,πρτο
πάτημα,;τημα,ά6ημα,άτυμα,άτηξα,άτημς,άτημζ
παγίδα,λαγίδ,π;γίδ,παβίδ,παγοδ,παγίφ,παγίφ
πανίδα,-αίδα,πςίδα,παοδα,παίεα,παίδσ,παίδ;
γίδα,8δα,ίψα,ίδσ,ίδς,ίδ;,ίδ;
μάγισσα,κάγισα,μςγισα,μάηισα,μάγοσα,μάγιαα,μάγισς
πάγωμα,΄άγμα,πζγμα,πάωμα,πάγκα,πάγμσ,πάγμ;
πυξίδα,0υξδα,π6ξδα,πυθδα,πυξρα,πυξδζ,πυξδ;
χάνδρα,ψάδρα,χσδρα,χάσρα,χάδ4α,χάδρς,χάδρς
άντρας,ζνρας,άμρας,άνφας,άνρσς,άνρα;,άνρα;
άνετος,;ετος,άρτος,άεφος,άετπς,άετοα,άετο;
άγγελος,ςγελος,άφελος,άγδλος,άγε.ος,άγελ0ς,άγελοε
άνισος,σνσος,άξσος,άνδος,άνσις,άνσοα,άνσοα
άνοδος,ςνοδο,άβοδο,άνλδο,άνοεο,άνοδπ,άνοδπ
ήρεμος,γρεμο,ήεεμο,ήρ3μο,ήρεξο,ήρεμι,ήρεμ9
αγενώς,σγεώς,ατεώς,αγ4ώς,αγεγς,αγεώ2,αγεώ2
αδένος,;ένος,αςνος,αέξος,αένπς,αένο2,αένοσ
αετός,ςετς,α4τς,αε5ς,αετ3,αετ2,αετσ
ατμός,φμός,τνός,τμις,τμόα,τμόσ,τμό3
αφελώς,;φελώ,αρελώ,αφδλώ,αφεκώ,αφελγ,αφελψ
αφενός,ζφνός,ατνός,αφμός,αφνπς,αφνό3,αφνόα
γκρεμός,ξρεμός,κ4εμός,κρ3μός,κρεξός,κρεμις,κρεμόα
κανενός,μνενός,κξενός,κνρνός,κνεμός,κνενις,κνενό2
λαιμός,πιμός,λκμός,λικός,λιμ9ς,λιμόα,λιμό3
φανερός,δανεός,φζνεός,φαμεός,φανσός,φανεκς,φανεό3
απλός,ςπός,αλός,απις,από3,απόσ,απόε
βάλτος,νάτος,βστος,βάυος,βάτλς,βάτο2,βάτοα
βάτος,γτος,β6ος,βτ0ς,βτο3,βτο2,βτοσ
βέλος,σλος,έ.ος,έλ0ς,έλοσ,έλοε,έλο;
βέτο,ητο,βρο,βτ0,βτκ,βτι,βτ9
δέος,σέο,δσο,δέλ,δέλ,δέι,δέ0
ιστός,οτός,ι5ός,ιτις,ιτό;,ιτόε,ιτό3
κάθετος,ιάθετς,κ;θετς,κάηετς,κάθ4τς,κάθευς,κάθετα
κάκτος,ζκτος,άοτος,άκ6ος,άκτις,άκτοσ,άκτοε
κήτος,λήτς,κντς,κή6ς,κήτε,κήτ3,κήτ3
καινός,ιαιός,κζιός,καθός,καιις,καιόσ,καιόα
καιρός,μαρός,κσρός,καδός,καρκς,καρόα,καρό;
καυτός,ζυτός,αγτός,αυ5ός,αυτ0ς,αυτόα,αυτό3
κενός,οενς,κσνς,κεμς,κεν;,κεν3,κενσ
λιτός,πιός,λ8ός,λιπς,λιόα,λιόσ,λιό;
λωτός,οτός,λγός,λτ0ς,λτό2,λτόσ,λτόε
ρητώς,τητώ,ρξτώ,ρηγώ,ρητφ,ρητφ,ρητγ
φαεινός,σεινός,ασινός,αεξνός,αειξός,αειν0ς,αεινόσ
φελλός,δελλό,φσλλό,φε.λό,φελκό,φελλπ,φελλ9
