πατρίδα,0σγρίδα,πσρτίδα,παρτ9δα,πατφθχα
πατρικά,[;υρικά,πσγδικά,παυδοκά,πατφκιά
πατρινά,λσγρινά,πζρτινά,πα55ξνά,πατφξμά
πατητά,λ;ρητά,πζγυτά,παφυφά,πατυ5σ
άρτυμα,ζερυμα,ά556μα,άρφηξα,άρτγκζ
ακτίδα,ςμ6ίδα,αμ6θδα,ακ5κχα,ακτοχ;
απαρτία,σ-;ρτία,αοζ5τία,απζ4φία,απαδυ8α
γαρίδα,η;δίδα,γςε8δα,γα4ορα,γαρξφζ
καρωτίδα,ξσ5ωτίδα,κζδγτίδα,κα5βφίδα,καργ68δα
καρύδα,οστύδα,κζδθδα,κατ6φα,καρηχς
μαρίδα,ξςδίδα,μ;5κδα,μαε8ρα,μαρθψ;
μαρτύρα,ξσετύρα,μς4υύρα,μαδ5θρα,μαρφ7δα
πάρτι,-ζ4τι,πςφυι,πάεφο,πάρ60
πάτημα,λζγημα,π;υξμα,πά5γκα,πάτυν;
παγίδα,-ζβίδα,π;υξδα,παη8ψα,παγθσζ
πανίδα,λσβίδα,π;ξ8δα,παηξσα,πανοχ;
γίδα,φκψα,γξφζ,γίψχ,γίδ;
μάγισσα,ν;βισσα,μ;υκσσα,μάβξζσα,μάγοεζα
πάγωμα,οσφωμα,π;ωβμα,πάτφνα,πάγψνσ
πυξίδα,-6νίδα,π6ιθδα,πυηξχα,πυξκρ;
χάνδρα,σςμδρα,χσξψρα,χάξεφα,χάνρφζ
άντρας,σβγρας,άμφ5ας,άν5τ;ς,άντ4σε
άνετος,;βστος,άβ3φος,άνρυ9ς,άνεγ9σ
άγγελος,ζυτελος,άυβςλος,άγβδκος,άγγςκις
άνισος,;μ8σος,άξοαος,άνξεκς,άνιζ0σ
άνοδος,σβ9δος,άβλρος,άνκχπς,άνοχια
ήρεμος,γτ4μος,ήφςνος,ήρσκκς,ήρενλ2
αγενώς,ςτρνώς,αησμώς,αγ4μφς,αγεξγα
αδένος,ςψ4νος,ασρμος,αδδβ0ς,αδέηιε
αετός,ζ3γός,αςγ0ς,αερ92,αετκα
ατμός,ςφνός,αγνις,ατκ92,ατμκε
αφελώς,ζγρλώς,αρρπώς,αφ4οβς,αφεκγε
αφενός,ζγ3νός,αωρμός,αφρξ9ς,αφεμλ2
γκρεμός,υξφεμός,γξε4μός,γκ44κός,γκρςνλς
