πατρίδα,[ςτρίδα,πσ6ρίδα,παρτίδα,πατ4θδα,πατροσα
πατρικά,΄στρικά,πζγρικά,πα64ικά,πατ5οκά,πατρ8οά
πατρινά,[ςτρινά,πςυρινά,παφφινά,πατ5θνά,πατρθξά
πατητά,λ;τητά,πζρητά,πα5ντά,πατβ5ά,πατηγσ
άρτυμα,;5τυμα,ά5φυμα,άρυημα,άρτθνα,άρτυν;
ακτίδα,σοτίδα,αιγίδα,ακ6οδα,ακτξρα,ακτίεσ
απαρτία,;οαρτία,α΄ζρτία,απζττία,απαδρία,απαρ58α
γαρίδα,ωζρίδα,γστίδα,γαεξδα,γαρξψα,γαρίσζ
καρωτίδα,μσρωτίδα,κ;φωτίδα,κα5γτίδα,καρψ6ίδα,καρω6ξδα
καρύδα,οσρύδα,κς5ύδα,κατηδα,καρ6ρα,καρύψζ
μαρίδα,νζρίδα,μςδίδα,μα5θδα,μαρθψα,μαρίφς
μαρτύρα,νζρτύρα,μζττύρα,μα45ύρα,μαρρ7ρα,μαρτ6τα
πάρτι,ο;ρτι,π;ττι,πά4υι,πάρ5ο,πάρτ8
πάτημα,λςτημα,πσρημα,πάυθμα,πάτξκα,πάτηκς
παγίδα,[;γίδα,πςωίδα,παφ8δα,παγξρα,παγίρς
πανίδα,΄ζνίδα,πςμίδα,παξθδα,παν9φα,πανίρσ
γίδα,τξδα,γοφα,γίεσ,γίδ1,γίδ;
μάγισσα,κσγισσα,μςωισσα,μάηθσσα,μάγξςσα,μάγιαεα
πάγωμα,΄ςγωμα,πζβωμα,πάωγμα,πάγφνα,πάγωξς
πυξίδα,λτξίδα,πτκίδα,πυιξδα,πυξκφα,πυξίψ;
χάνδρα,ψσνδρα,χ;βδρα,χάβφρα,χάνφεα,χάνδ4ζ
άντρας,ςξτρας,άμ5ρας,άνρφας,άνττςς,άντρσε
άνετος,σβετος,άηρτος,άνςγος,άνεγις,άνετ03
άγγελος,σβγελος,άφτελος,άγω4λος,άγγ4.ος,άγγεοπς
άνισος,;βισος,άηξσος,άνθχος,άνιεπς,άνισκ2
άνοδος,σξοδος,άμκδος,άνλφος,άνορις,άνοδπ2
ήρεμος,θδεμος,ή5δμος,ήρςνος,ήρενκς,ήρεμι;
αγενώς,;φενώς,αβρνώς,αγρηώς,αγεμβς,αγενψ3
αδένος,ζφένος,αεςνος,αδςβος,αδέμλς,αδένιε
αετός,ςστός,α3γός,αεφ9ς,αετπ;,αετός
ατμός,σφμός,αγκός,ατκ9ς,ατμ0;,ατμό;
αφελώς,σψελώς,αγρλώς,αφςοώς,αφε.γς,αφελβα
αφενός,ςγενός,αδςνός,αφ4βός,αφεηκς,αφεν93
γκρεμός,υιρεμός,γι5εμός,γκ4ρμός,γκρςνός,γκρεξπς
κανενός,ξ;νενός,κ;βενός,καβ4νός,κανσμός,κανεβις
λαιμός,΄ζιμός,λ;8μός,λαξξός,λαικκς,λαιμ92
φανερός,δ;νερός,φσμερός,φαξδρός,φανσεός,φανεφις
απλός,ζολός,α΄κός,απ.ις,απλ9α,απλός
βάλτος,η;λτος,βσ΄τος,βάο5ος,βάλυπς,βάλτι2
βάτος,ηστος,βζφος,βά5ις,βάτκ2,βάτο3
βέλος,ηδλος,βδκος,βέκπς,βέλκσ,βέλο1
βέτο,νρτο,β4υο,βέ6λ,βέτο,βέτι
δέος,φ4ος,δρις,δέκ2,δέος,δέο2
ιστός,κετός,ιςγός,ισ6λς,ιστπε,ιστό;
κάθετος,ιζθετος,κ;ξετος,κάξ4τος,κάθ4γος,κάθε5πς
κάκτος,ξζκτος,κζλτος,κάορος,κάκ5λς,κάκτλ2
κήτος,μθτος,κθρος,κήφ9ς,κήτισ,κήτος
καινός,οσινός,κσθνός,κα9βός,καιβλς,καινκσ
καιρός,μςιρός,κζξρός,κακεός,καιδις,καιρ02
καυτός,ξζυτός,κ;γτός,κατ5ός,καυφις,καυτ9;
κενός,ορνός,κςμός,κεβπς,κεν92,κενόε
λιτός,οοτός,λκ6ός,λι5λς,λιτλε,λιτόδ
λωτός,οψτός,λβγός,λωφκς,λωτπ2,λωτός
ρητώς,τγτώς,ρυγώς,ρη5γς,ρητγε,ρητώ4
φαεινός,ω;εινός,φσ4ινός,φας8νός,φαε9ηός,φαειβ9ς
φελλός,ρσλλός,φδπλός,φεκοός,φελπλς,φελλκε
ψητός,χξτός,ψν5ός,ψη5κς,ψητκα,ψητό2
βλήμα,ωπήμα,β΄ξμα,βλνξα,βλήξς,βλήμχ
άθλημα,σιλημα,άυ.ημα,άθ.υμα,άθλξνα,άθληκσ
έγκλημα,4ηκλημα,έβξλημα,έγξοημα,έγκ΄ξμα,έγκλξνα
έλλειμμα,δπλειμμα,έ.πειμμα,έλοδιμμα,έλλ39μμα,έλλε9κμα
ασχήμια,;χχήμια,αζζήμια,ασψγμια,ασχβκια,ασχήν8α
βλέμμα,ωκέμμα,β΄σμμα,βλσκμα,βλέξξα,βλέμκσ
δουλειά,σκυλειά,δι7λειά,δοτοειά,δουο4ιά,δουλδ8ά
ζημιά,σξμιά,ζβξιά,ζηκκά,ζημ9ς,ζημισ
ηλίθια,υκίθια,ηπξθια,ηλξ8ια,ηλί7οα,ηλίθ9σ
ηλικία,θκικία,η΄ξκία,ηλκμία,ηλιλ9α,ηλικκ;
θέλημα,υδλημα,θδ΄ημα,θέκξμα,θέλθξα,θέληνς
κάλυμμα,ξςλυμμα,κζουμμα,κάπθμμα,κάληνμα,κάλυνκα
καλάμια,οσλάμια,κσκάμια,καπ;μια,καλσκια,καλάκ9α
κόλλημα,μπλλημα,κ9ολημα,κό..ημα,κόλ΄θμα,κόλλυνα
μούμια,ξλύμια,μι7μια,μογνια,μούκθα,μούμ9ς
ντουλάπα,β6ουλάπα,ν59υλάπα,ντ07λάπα,ντο7οάπα,ντουοσπα
πλημμύρα,-οημμύρα,π΄θμμύρα,πλθξμύρα,πληννύρα,πλημξ6ρα
φίλημα,ψ8λημα,φξ.ημα,φίκυμα,φίλξξα,φίληξς
