πατρίδα,[ςτρίδλα,πσ6ρίμδα,ππαρτίδα,πατξ4θδα,παχτροσα
πατρικά,΄στριγκά,πζγρρικά,παξ64ικά,πγατ5οκά,ηπατρ8οά
πατρινά,θ[ςτρινά,πλςυρινά,παφφιννά,πδατ5θνά,πατρθωξά
πατητά,τλ;τητά,πζρητυά,ιπα5ντά,πζατβ5ά,πατηγσσ
άρτυμα,;φ5τυμα,ά5φυημα,άκρυημα,άρζτθνα,άρτνυν;
ακτίδα,σοτίδδα,αιγίηδα,αλκ6οδα,ακτφξρα,ακτίθεσ
απαρτία,;οαρτξία,α΄ζρτφία,απζττχία,υαπαδρία,ηαπαρ58α
γαρίδα,ωζρτίδα,γστίδχα,σγαεξδα,γαρξωψα,γαφρίσζ
καρωτίδα,μσρωτκίδα,κ;ζφωτίδα,κα5χγτίδα,καρτψ6ίδα,καρω6ξξδα
καρύδα,οσρβύδα,κς5ύδδα,φκατηδα,καρ6ρνα,καγρύψζ
μαρίδα,νζρηίδα,μπςδίδα,μα5εθδα,μαρθθψα,κμαρίφς
μαρτύρα,νζτρτύρα,μζσττύρα,γμα45ύρα,μραρρ7ρα,μαρτ6τνα
πάρτι,ρο;ρτι,π;κττι,πά4αυι,χπάρ5ο,πάδρτ8
πάτημα,λςτημσα,πσρηξμα,οπάυθμα,πάττξκα,πάγτηκς
παγίδα,[;γμίδα,πςχωίδα,παφμ8δα,νπαγξρα,παγίρλς
πανίδα,΄ζνπίδα,πςμίμδα,ξπαξθδα,πηαν9φα,παλνίρσ
γίδα,τξπδα,γοφβα,γίεσσ,σγίδ1,γίπδ;
μάγισσα,κσγισσψα,μςωισσωα,μάηθσσια,μκάγξςσα,μάγιαθεα
πάγωμα,΄ςβγωμα,πζβκωμα,πάκωγμα,πάγφντα,πάγωξυς
πυξίδα,λτξβίδα,ωπτκίδα,πψυιξδα,πψυξκφα,πυξίωψ;
χάνδρα,ψσνψδρα,χ;φβδρα,χάβφβρα,κχάνφεα,χάνδ4οζ
άντρας,ςχξτρας,ξάμ5ρας,άνδρφας,άνττςυς,άντρξσε
άνετος,σβεθτος,άηρτφος,άνψςγος,αάνεγις,άνετ0δ3
άγγελος,σβγελδος,άτφτελος,άγτω4λος,άκγγ4.ος,άγγεοπγς
άνισος,ω;βισος,άηωξσος,άξνθχος,άνλιεπς,άνισκο2
άνοδος,σξψοδος,οάμκδος,άνλφζος,άνοψρις,άνοδλπ2
ήρεμος,θδευμος,ή5κδμος,ήρςνφος,ήρενβκς,πήρεμι;
αγενώς,;ηφενώς,αθβρνώς,αγρηδώς,αγδεμβς,ακγενψ3
αδένος,ζφοένος,αεςνοες,αδχςβος,αζδέμλς,αδιένιε
αετός,ςσψτός,α3θγός,αεκφ9ς,αεδτπ;,αετεός
ατμός,σιφμός,αγυκός,ατγκ9ς,σατμ0;,ατμόδ;
αφελώς,σψελδώς,ααγρλώς,αφςοώνς,αφε.γλς,αφερλβα
αφενός,ςγτενός,αδςνόσς,μαφ4βός,αφεηρκς,ξαφεν93
