πατρίδα,λζτίδα,πς6ίδα,πα6θδα,πατξφα,πατίψζ
πατρικά,;ρρικά,αφ5ικά,ατ5θκά,ατρξλά,ατριξ;
πατρινά,-ςτινά,πζυινά,παφ9νά,πατξβά,πατιξς
πατητά,-γητά,π6γτά,πτθρά,πτηρ;,πτητχ
άρτυμα,ζυυμα,άγ6μα,άτγνα,άτυκζ,άτυμζ
ακτίδα,σξτδα,αλ6δα,ακ6φα,ακτρζ,ακτδζ
απαρτία,ζςρτία,αζφτία,αα4φία,ααρφ8α,ααρτθσ
γαρίδα,ω;ρίδ,γσφίδ,γατ8δ,γαρκσ,γαρίχ
καρωτίδα,οσρτίδα,κζ5τίδα,κατφίδα,καρρθδα,καρτκρα
καρύδα,ξςρύδ,κζδύδ,καδ6δ,καρηχ,καρύφ
μαρίδα,κτίδα,μδθδα,μρξεα,μρίσς,μρίδσ
μαρτύρα,κ;τύρα,μ;υύρα,μαγτρα,ματ6φα,ματύφ;
πάρτι,[ςρι,πσδι,πάφκ,πάρ0,πάρι
πάτημα,;φημα,άυγμα,άτυκα,άτηκ;,άτημχ
παγίδα,λςγία,πσηία,παωθα,παγ8ζ,παγίχ
πανίδα,λ;νδα,πσξδα,παηψα,πανσζ,πανδα
γίδα,τξα,γκς,γίχ,γίδ,γία
μάγισσα,κςγισα,μζηισα,μάφ9σα,μάγ8δα,μάγις;
πάγωμα,΄ζγωμ,πσωωμ,πάυφμ,πάγψκ,πάγωμ
πυξίδα,[ηίδα,πη9δα,πξ9εα,πξίφ;,πξίδχ
χάνδρα,σβδρα,χμφρα,χνψεα,χνδφζ,χνδρε
άντρας,ζβρας,άβφας,άνεζς,άνρσε,άνρας
άνετος,η3τος,νςφος,νε69ς,νετια,νετο1
άγγελος,συελος,άη4λος,άγσπος,άγε.ις,άγελλ3
άνισος,ζβσος,άμδος,άνδλς,άνσπε,άνσο;
άνοδος,σβοδς,άξπδς,άνπχς,άνορα,άνοδα
ήρεμος,ξεεμο,ήε4μο,ήρςξο,ήρεκλ,ήρεμ9
αγενώς,;τεώς,αφ4ώς,αγ3ψς,αγεφε,αγεώ2
αδένος,σσνος,δρηος,δέβκς,δένλσ,δένοε
αετός,46ός,ευκς,ετ0σ,ετόζ,ετό2
ατμός,ζρμς,α6κς,ατν2,ατμσ,ατμ2
αφελώς,ςτλώς,αρ.ώς,αφ΄γς,αφλγ3,αφλώσ
αφενός,σδενς,ατσνς,αφ3βς,αφεη3,αφεν2
γκρεμός,ωτεμός,γε3μός,γρςκός,γρεκκς,γρεμπε
κανενός,λσνενς,κζβενς,καμ3νς,κανρης,κανεβα
λαιμός,οζιμό,λ;κμό,λακκό,λαικ0,λαιμο
φανερός,;ηερός,αξςρός,αν34ός,ανεφις,ανερκ3
απλός,;[λό,αλ΄ό,αππλ,απλ8,απλ8
βάλτος,γσλος,βζ΄ος,βάπ0ς,βάλ9α,βάλοε
βάτος,ν5ος,β5λς,βτι2,βτο1,βτοδ
βέλος,ροος,έπ0ς,έλ93,έλο3,έλο;
βέτο,ρ5ο,έρι,έτο,έτκ,έτπ
δέος,χ9ς,δλσ,δος,δοχ,δορ
ιστός,ξχτό,ιαγό,ισφπ,ιστμ,ιστκ
κάθετος,οσθετς,κσηετς,κάι4τς,κάθ3φς,κάθερα
κάκτος,μ;κτο,κ;λτο,κάξφο,κάκ5ι,κάκτπ
κήτος,οντο,κγγο,κήρπ,κήτο,κήτ0
καινός,ι;ιός,κ;οός,καθπς,και0ε,καιόρ
καιρός,;ξρός,α85ός,αιδκς,αιρλε,αιρόα
καυτός,ιζυτό,κζγτό,κα6υό,καυρπ,καυτ-
κενός,σμός,εμπς,ενισ,ενόζ,ενό3
λιτός,9υός,ιφκς,ιτ02,ιτόρ,ιτό1
λωτός,φ5ός,ω5λς,ωτπ2,ωτόε,ωτόσ
ρητώς,δγώς,ρυφς,ρηψα,ρηώ4,ρηώ;
φαεινός,ρ;ενός,φζ3νός,φαρβός,φαεξις,φαεν0ε
φελλός,τδλλό,φςκλό,φε΄οό,φελο9,φελλξ
ψητός,δθτς,ψγρς,ψη6ε,ψητσ,ψητς
βλήμα,ν΄μα,β.να,βλνς,βλμ3,βλμα
άθλημα,7.ημα,θ.υμα,θλυκα,θληκσ,θλημε
