πατρίδα,οζτλυηρίδα,π;γρρίβδρα,παευιείδηα,πατλιδθσδα,πνανοτρκσα
πατρικά,[σητβρικμά,π;σαρριφκά,πραγσδικιά,πατσδβακκά,ρπαυτροχμά
πατρινά,δ[ςτνριννά,ξπκσ6ψρινά,υπαομρτινά,παττφκννπά,πατρξευξυά
πατητά,λχπ΄;τητά,ζπςλρητκά,ογπαζργτά,ηπραντυγά,παστγην5;
άρτυμα,σ5τυζμμια,ξάαδγυμοα,αάρξυτεμα,πψάρτ6τνα,άπρτυξιζζ
ακτίδα,;εξμτίζδα,αμ6ξίχυδα,κοακυ9δγα,ακδττ9στα,θακτωίφθ;
απαρτία,χζγ0αρρτία,α-φςργυτία,βακπα;ττία,αμζποα56ία,αφγπαρυθφα
γαρίδα,ωζορίπσδα,γυμζ5ίφδα,γαωτδ8βδα,ζκγαρ8θεα,γαορίσεφ;
καρωτίδα,μ;ρωτίνδδβα,κξ;βφωωτίδα,καδτφιτνίδα,υκζαρνφ5ίδα,ξκιαρω6ξδψα
καρύδα,λ;ρλμύβδα,κσθτηαύδα,χηκοαττδα,καρωβθφμα,ικαρμούσς
μαρίδα,λμκσρίδυα,μ;εγίγδνα,μνρα5ω8δα,μαρκρεερα,μαρμνίψκ;
μαρτύρα,νσζρτύρθψα,μ;β5βτφύρα,ωομζατφύρα,υμαρρτρδγα,μαηρτζθτυα
πάρτι,ογοζρτωι,ηπχψσετι,νκπάερρι,πυάιρε6ο,σλρπάρτθ
πάτημα,-αοςτηφμα,απςρημνδα,κπά6γωμσα,κπγάατβξα,πάτωεητκ;
παγίδα,σ-ψςγίβδα,πωμςβίιδα,παχωψοδτα,πυαγξσλεα,παγαίαωψς
πανίδα,η[σθνίεδα,πσηίθδλδα,σπαωβμθδα,παχονθεδα,πυασννίρζ
γίδα,χτωξνδα,γξθχνβα,γγγίτρ;,ηηγγίδχ,γίδερφχ
μάγισσα,ιξζγομισσα,ομ;υωιασσα,μάτνκμσσθα,ζμάγ9αζσηα,μάφγηιβχςα
πάγωμα,οςφγωμψια,π;ωωδλμεα,πσάωβμαλα,πσάγηψσξα,ξπάγωφων;
πυξίδα,΄μ7ξίζδβα,ωπηκκίδωα,ωπυηιξδυα,πυζωξχ8φα,θπνυχξίχς
χάνδρα,ψμζσνδρια,χ;μλδτρυα,γχάξψρπψα,μχράνφι5α,αχάνδψττζ
άντρας,σμτβρχκας,άμξμω6ρας,άηονγταλς,ωάντ4;ινς,άιντλχρζ3
άνετος,ζβεωτγους,αάμζςμτος,άφνδχνγος,τάνηωε5πς,άφφνετφκσ
άγγελος,;υμγελλολς,άββελασφος,γωάγλωρλος,άεγργροζος,λχάγργεο9ς
άνισος,ιοσβισοκς,άβξλ9σνος,άνξησεοτς,βάβνωιακς,άννισυιιε
άνοδος,;βχοζδοης,θάδηλδοος,άμνβφπρος,κάνοεφτλς,άνγομδωι2
ήρεμος,υεο5εμοας,ήτςμμοζνς,ζήηρω3νος,ήρεφυξζλς,ήζρεβαμ9;
αγενώς,νσβωενώξς,αωξδνσώχς,αλγ3βφβώς,πχαργεξψς,αζγευζνβα
αδένος,σαοσένοδς,αε3ωνγολς,μαδ3εβοπς,αλχδέβμκς,αδδέφν9κα
αετός,σ3σθτψός,βθωασφός,ατεγλγλς,αζωεψτισ,αετψκσό2
ατμός,κ;ω5σμός,αλφενοός,ατηξξνις,ατμεχμισ,αττφαμός
αφελώς,;δεβλώχφς,αψψςλεώρς,ρβαφρπ.ώς,ραχφεπτψς,ωραφξελψε
αφενός,ζβγεγνόις,αλχω4νοός,αφν3τβόνς,αωμφεηεκς,θξαφυεν9σ
γκρεμός,ηλρεξμβόως,γογδεψμζός,τχγοκ4δμός,ηγκρφδκόζς,γκρνδεεκ9ς
κανενός,οςνενυνόδς,σκ;αδηενός,καξ4χνηόας,κκθαννςβός,κβανεξικτς
λαιμός,οσιμόλαθς,λσχμμκμός,λαθογκαός,λωζαιδνλς,λφαυτιμπ3
φανερός,ρσφνδειρός,φσιηεβκρός,φαξρκρθεός,φιανςδζωός,οωφανεφσλς
απλός,ςωξ0λωός,α-κπνρός,αψβππ0λς,σαπλδοπσ,απολόσας
βάλτος,εδν;λτολς,βσακτραος,βάσακφ5ος,κβάλιρηις,υβάζλτικσ
βάτος,λγβςτθος,βσα6οβος,βσάυδλξς,βοιάτ0κ;,γβιφάτο1
βέλος,νεςελπος,βρτονωος,θβοέ΄λις,ζξβέελ93,ωβέιλοα2
βέτο,γψσγτθο,ηβωδρρο,βθέκιγπ,χυβέτιο,ωβέφτηλ
δέος,αχςοβσς,δρ9ονις,αδνένι;,δεγέορζ,υδέποησ
ιστός,ιμ8ζιτός,ιχστμγός,χιεσ6σις,ιοιστω92,εζιστόγε
κάθετος,μωζξθξετος,δκμκ;ηετος,χκά8τι3τος,κάθζςιλ5ος,λκάθευπμσς
κάκτος,μ;γκιτοξς,ηψθκζξτος,εκάεξρολς,φκάρκφρ9ς,ζσκάκετι2
κήτος,λξπκτοες,κθ6οιτες,χκή6λφκς,κήτλπξν2,κνήτβοψζ
καινός,λσσνινδός,χκς8νόφας,κα8ηππόας,βκκαιηκκς,καζιξνφπσ
καιρός,ωιρσιρόβς,κχσζς9ρός,κφτα8φόες,ακωαιβδλς,κυηακιρλ;
καυτός,αψλςυτόμς,κμσρθτόος,βκα65όγσς,κααηυωφ0ς,ψκαπυετλσ
κενός,οιςνμρός,βκησμόως,κεβμ9ωυς,κθενεζ9ε,κεγογνό4
λιτός,.κοττοός,λχω9γβός,λιγνξκγς,λιτιτωξε,ψλγιτόνδ
λωτός,μρκφτοός,λψγβόαγς,ιγλω5λως,λωοτφ9φε,βλωηφτό1
