πατρίδα,οξρζτρίδα,ωπ;γρίοδα,πτακυείδα,παγστδθδα,επατρκσλα
πατρικά,[σντρικθά,π;υρριικά,ζπαηγδικά,πατγδκκιά,πατρλεομά
πατρινά,σ[ρςτρινά,φιπσ6ρινά,παγιρτινά,παξττκνγά,ππατυρξξά
πατητά,΄;τληττά,πςρπηττά,ψπηαργτά,πατυψγθά,εκπατη5;
άρτυμα,σ5ιτυομα,άδγφτυμα,άραυτπμα,θάρτ6θνα,άροταυξζ
ακτίδα,;τμτίδζα,ζααμ6ίδα,αγκυσ9δα,κακητ9σα,αεκκτίφ;
απαρτία,ζ0αρντχία,α-ςρρτίφα,απη;τετία,ααπα5τ6ία,αυεπαρυθα
γαρίδα,ωζξρίτδα,γζθ5ίξδα,γαδ8ελδα,σγαρ8εκα,γγαχρίε;
καρωτίδα,μ;ρωτζηίδα,κε;φσωτίδα,κατφτχφίδα,καρφμε5ίδα,κκαρωμ6ξδα
καρύδα,λ;ιρύτδα,κσταύδυα,ζκζαττδα,κραρτθφα,καρμηύσς
μαρίδα,κσρχχίδα,μ;είθαδα,μα5β8δρα,μαρνκεξα,μαρίψοω;
μαρτύρα,νζρταύερα,μπ;5τδύρα,μιατωφύρα,ψμαφρρτρα,γμαρτθταα
πάρτι,οζσγρτι,πσφυετι,πκιάερι,ψπάψρ6ο,πάρορτθ
πάτημα,κ-ςτημοα,πθςρωημα,ηπά6δγμα,υαπάτβξα,πάνντηκ;
παγίδα,φ-ςγίνδα,πςβίδβδα,παωχοδνα,ζπαγξπεα,παξκγίψς
πανίδα,[σνίθδμα,θπσυηίδα,πθαβθδδα,πανθετια,θπαανίρζ
γίδα,δτωξδα,ιγτξχα,ζγκίρ;,εγφίδχ,γφίδψχ
μάγισσα,μξζγγισσα,ημ;υισστα,μάττκοσσα,μάγ9ζσισα,μάγιχυςθα
πάγωμα,οςμγωμψα,πι;ωωκμα,νπάωβπμα,απάγψρξα,πάτγεων;
πυξίδα,΄7ρξωίδα,πηακίηδα,πυιξδαλα,πυξυ8βφα,πυξίπχυς
χάνδρα,ψεσνθδρα,χ;σμχδρα,χιάδξψρα,χάνφβ5τα,νχάνδταζ
άντρας,σψμστρας,άξχζ6ρας,άψνγτσας,άωντπ4;ς,υάντριζ3
άνετος,σζβετοος,χάμςτζος,ιάνιδγος,άνεμ5υπς,άνψετδκσ
